,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,PHP
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,amazon-pay-sdk-java,Java
31,amazon-pay-sdk-php,PHP
32,amazon-pay-sdk-python,Python
33,amazon-pay-sdk-ruby,Ruby
34,amazon-payment-files-tools,Kotlin
35,amazon-payments-magento-2-plugin,PHP
36,amazon-ray,Python
37,amazon-s3-gst-plugin,C
38,amazon-sidewalk-android-samples,
39,amazon-sidewalk-ios-samples,Swift
40,amazon-succinct-doc-representation,Python
41,amazon-template-library,C++
42,amazon-weak-ner-needle,Python
43,amigitenough,Go
44,amzn-drivers,C
45,amzn-ec2-ena-utilities,Python
46,app-platform,Kotlin
47,armbench,Python
48,augment-the-pairs-wacv2024,Python
49,autotrail,Python
50,aws-apigateway-client-lib,
51,aws-sigv4-signing-samples,Java
52,AWSSecurityCareerPathwayActivityRust,Rust
53,awsssmchaosrunner,Kotlin
54,basis-point-sets,Python
55,BayesPE,Python
56,buy-with-prime-cdk-constructs,TypeScript
57,buy-with-prime-monitoring-sample-cdk,TypeScript
58,chalet-charging-location-for-electric-trucks,Python
59,computer-vision-basics-in-microsoft-excel,
60,confident-sinkhorn-allocation,Jupyter Notebook
61,convolutional-handwriting-gan,Python
62,cosearcher,Python
63,credence-to-causal-estimation,Python
64,data-jack-knife,Java
65,debiased-balanced-interleaving,Jupyter Notebook
66,differential-privacy-bayesian-optimization,Python
67,distance-assistant,Python
68,drs-sample-android-app,Java
69,drs-sample-ios-app,Objective-C
70,emukit-playground,JavaScript
71,eslint-plugin-no-date-parsing,TypeScript
72,exoplayer-amazon-port,Java
73,explainable-text-vqa,
74,extremely-efficient-query-encoder,Python
75,faithful-data2text-cycle-training,Python
76,fashion-attribute-disentanglement,Python
77,fire-app-builder,Java
78,firetv-sample-touch-app,Java
79,ftv-integration-sdk-sample-app,Kotlin
80,ftv-livetv-sample-tv-app,Java
81,gameon-sample-game-unity,C#
82,gameon-starter-kit-unity,C#
83,git-commit-template,JavaScript
84,glad,JavaScript
85,golang-gitoperations,Go
86,gpt-oss.java,Java
87,halo-third-party-sdk-for-java,Java
88,halo-third-party-sdk-for-node-js,TypeScript
89,halo-third-party-sdk-for-python,Python
90,hawktracer,C++
91,image-misspell-coling2020,
92,image-to-recipe-transformers,Python
93,informative-diverse-hard-negative-sampling,Python
94,ion-cascading-config,Java
95,ion-object-mapper-dotnet,C#
96,jekyll-doc-project,HTML
97,kotlin-inject-anvil,Kotlin
98,kqr,
99,lib-3d-scene-viewer,TypeScript
100,login-with-amazon-oscommerce,PHP
101,login-with-amazon-wordpress,PHP
102,media3-external-port,
103,merlin-on-demand-callgraph,JavaScript
104,metalearn-leap,Python
105,milan,Scala
106,MonitoringCustomMetrics,Python
107,mrc-net-6d-pose,Python
108,multiconer-baseline,Python
109,multilingual-keyphrase-generation,Python
110,multimodal-affinities,Python
111,MXFusion,Python
112,nimbus-jose-jwt_aws-kms-extension,Java
113,node-jose_aws-kms-extension,TypeScript
114,openapi-swift-code-generate,Swift
115,orthogonal-additive-gaussian-processes,Python
116,oss-attribution-builder,TypeScript
117,oss-contribution-tracker,TypeScript
118,oss-dashboard,Ruby
119,pecos,Python
120,pretraining-or-self-training,Python
121,python-jose_aws-kms-extension,Python
122,rdma-core,C
123,refuel-open-domain-qa,Python
124,rete-thewebconf-2022,Python
125,rheoceros,Python
126,robotiq-gripper-interface,C++
127,selling-partner-api-docs,
128,selling-partner-api-models,Mustache
129,selling-partner-api-php-release,PHP
130,selling-partner-api-postman,
131,selling-partner-api-samples,Java
132,selling-partner-api-sdk,PHP
133,seqzero,Python
134,service-model-swift-code-generate,Swift
135,sid-provision,Python
136,sid-signing-tool,Python
137,sketch-constructor,JavaScript
138,smoke-aws,Swift
139,smoke-aws-credentials,Swift
140,smoke-aws-generate,Swift
141,smoke-aws-support,Swift
142,smoke-dynamodb,Swift
143,smoke-framework,Swift
144,smoke-framework-application-generate,Swift
145,smoke-framework-examples,Swift
146,smoke-http,Swift
147,sparse-vqvae,Python
148,ss-aga-kgc,Python
149,sto-transformer,Python
150,supply-chain-simulation-environment,Python
151,tiny-attribution-generator,TypeScript
152,traffic-quality-smart-pixel-loader,TypeScript
